date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:11	30/30	---M--	200	added ('OK')	text/plain	etag:%221631893827%22	https://evoocapital.com/robots.txt		(from )
11:00:12	65039/65039	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:12%20GMT	https://evoocapital.com/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/index.html	(from )
11:00:13	222534/222534	---M-Z	200	added ('OK')	text/css	etag:%2236546-5db72600675c9-gzip%22	https://evoocapital.com/wp-content/themes/evoo/dist/css/style.css	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/css/style.css	(from https://evoocapital.com/)
11:00:14	1481/1481	---M--	200	added ('OK')	image/png	etag:%225c9-5d9553ff0ef33%22	https://evoocapital.com/wp-content/themes/evoo/dist/img/favicon/apple-touch-icon.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/img/favicon/apple-touch-icon.png	(from https://evoocapital.com/)
11:00:14	439/439	---M--	200	added ('OK')	image/png	etag:%221b7-5d9553ff2a4eb%22	https://evoocapital.com/wp-content/themes/evoo/dist/img/favicon/favicon-32x32.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/img/favicon/favicon-32x32.png	(from https://evoocapital.com/)
11:00:15	269/269	---M--	200	added ('OK')	image/png	etag:%2210d-5d9553ff1aacb%22	https://evoocapital.com/wp-content/themes/evoo/dist/img/favicon/favicon-16x16.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/img/favicon/favicon-16x16.png	(from https://evoocapital.com/)
11:00:16	426/426	---M--	200	added ('OK')	text/html	etag:%221aa-5d9553ff4f6f7%22	https://evoocapital.com/wp-content/themes/evoo/dist/img/favicon/site.webmanifest	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/img/favicon/site.html	(from https://evoocapital.com/)
11:00:17	446/446	---M--	200	added ('OK')	image/svg+xml	etag:%221be-5d9553ff4a8cd%22	https://evoocapital.com/wp-content/themes/evoo/dist/img/favicon/safari-pinned-tab.svg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/img/favicon/safari-pinned-tab.svg	(from https://evoocapital.com/)
11:00:18	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e3a6ac2c41ec-gzip%22	https://evoocapital.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/css/dist/block-library/style.min37ad.css	(from https://evoocapital.com/)
11:00:19	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5d954b2e42e4f-gzip%22	https://evoocapital.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://evoocapital.com/)
11:00:20	8865/8865	---M-Z	200	added ('OK')	text/css	etag:%2222a1-5d954b783a70c-gzip%22	http://evoocapital.com/wp-content/uploads/pum/pum-site-styles.css?generated=1646332762&ver=1.16.4	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/pum/pum-site-styles42ea.css	(from https://evoocapital.com/)
11:00:20	303/303	---M-Z	200	added ('OK')	text/css	etag:%2212f-5d954b3da07cf-gzip%22	https://evoocapital.com/wp-content/plugins/jquery-validation-for-contact-form-7/includes/assets/css/jvcf7_client.css?ver=5.2	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/plugins/jquery-validation-for-contact-form-7/includes/assets/css/jvcf7_client5fba.css	(from https://evoocapital.com/)
11:00:22	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5c7990f4eeeb6-gzip%22	https://evoocapital.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://evoocapital.com/)
11:00:22	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5c08bac76b080-gzip%22	https://evoocapital.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://evoocapital.com/)
11:00:24	5626/5626	---MC-	200	added ('OK')	application/json	date:Wed,%2010%20Aug%202022%2005:30:25%20GMT	https://evoocapital.com/wp-json/wp/v2/pages/8	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-json/wp/v2/pages/8.json	(from https://evoocapital.com/)
11:00:25	193015/193015	---MC-	200	added ('OK')	application/json	date:Wed,%2010%20Aug%202022%2005:30:25%20GMT	https://evoocapital.com/wp-json/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-json/index.html	(from https://evoocapital.com/)
11:00:25	975/975	---MC-	403	error ('Forbidden')	text/html	date:Wed,%2010%20Aug%202022%2005:30:26%20GMT	https://evoocapital.com/xmlrpc.php?rsd	C:/Users/Arjun/Desktop/evoo/evoocapital.com/xmlrpc.d0db0.delayed	(from https://evoocapital.com/)
11:00:26	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5c08bac76b080-gzip%22	https://evoocapital.com/wp-includes/wlwmanifest.xml	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/wlwmanifest.xml	(from https://evoocapital.com/)
11:00:28	2463/2463	---MC-	200	added ('OK')	application/json	date:Wed,%2010%20Aug%202022%2005:30:29%20GMT	https://evoocapital.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fevoocapital.com%2F	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-json/oembed/1.0/embed33c4.json	(from https://evoocapital.com/)
11:00:30	2545/2545	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Aug%202022%2005:30:31%20GMT	https://evoocapital.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fevoocapital.com%2F&format=xml	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-json/oembed/1.0/embed4bc5	(from https://evoocapital.com/)
11:00:31	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2010%20Aug%202022%2005:30:32%20GMT	https://evoocapital.com/wp-admin/admin-ajax.php	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-admin/admin-ajax.11.delayed	(from https://evoocapital.com/)
11:00:32	945/945	---M--	200	added ('OK')	image/png	etag:%223b1-5cedbcd064578%22	https://evoocapital.com/wp-content/uploads/2021/10/icon_blockchain_black_2.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/10/icon_blockchain_black_2.png	(from https://evoocapital.com/)
11:00:33	57835/57835	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:34%20GMT	https://evoocapital.com/strategy-approach/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/strategy-approach/index.html	(from https://evoocapital.com/)
11:00:33	53481/53481	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:34%20GMT	https://evoocapital.com/about-us/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/about-us/index.html	(from https://evoocapital.com/)
11:00:33	47164/47164	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:34%20GMT	https://evoocapital.com/blog/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/blog/index.html	(from https://evoocapital.com/)
11:00:34	2234/2234	---M--	200	added ('OK')	image/png	etag:%228ba-5c090e1fd86ce%22	https://evoocapital.com/wp-content/uploads/2021/03/icon_cloud_black.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/icon_cloud_black.png	(from https://evoocapital.com/)
11:00:34	43550/43550	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:34%20GMT	https://evoocapital.com/contact/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/contact/index.html	(from https://evoocapital.com/)
11:00:35	2028/2028	---M--	200	added ('OK')	image/png	etag:%227ec-5c090e1fd86ce%22	https://evoocapital.com/wp-content/uploads/2021/03/icon_digitalassets_black.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/icon_digitalassets_black.png	(from https://evoocapital.com/)
11:00:35	49635/49635	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:35%20GMT	https://evoocapital.com/investments/blockchain/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/investments/blockchain/index.html	(from https://evoocapital.com/)
11:00:35	65956/65956	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:35%20GMT	https://evoocapital.com/investments/cloud-computing/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/investments/cloud-computing/index.html	(from https://evoocapital.com/)
11:00:36	47306/47306	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:36%20GMT	https://evoocapital.com/investments/digital-assets/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/investments/digital-assets/index.html	(from https://evoocapital.com/)
11:00:36	15158/15158	---M--	200	added ('OK')	application/json	etag:%223b36-5d9553fbc2c73%22	https://evoocapital.com/wp-content/themes/evoo/lottie/slash.json	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/lottie/slash.json	(from https://evoocapital.com/)
11:00:37	35491/35491	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202022%2005:30:38%20GMT	https://evoocapital.com/transparent	C:/Users/Arjun/Desktop/evoo/evoocapital.com/transparent.16.delayed	(from https://evoocapital.com/)
11:00:38	21452/21452	---M--	200	added ('OK')	application/json	etag:%2253cc-5d9553fbc5b59%22	https://evoocapital.com/wp-content/themes/evoo/lottie/big_arrow.json	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/lottie/big_arrow.json	(from https://evoocapital.com/)
11:00:40	408943/408943	---M--	200	added ('OK')	image/jpeg	etag:%2263d6f-5c090e09e642f%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-1.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-1.jpg	(from https://evoocapital.com/)
11:00:40	68365/68365	---M--	200	added ('OK')	image/jpeg	etag:%2210b0d-5c090e09e642f%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-2.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-2.jpg	(from https://evoocapital.com/)
11:00:41	31637/31637	---M--	200	added ('OK')	image/jpeg	etag:%227b95-5c090e09e642f%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-3.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-3.jpg	(from https://evoocapital.com/)
11:00:42	85448/85448	---M--	200	added ('OK')	image/jpeg	etag:%2214dc8-5c090e09e73cf%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-4.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-4.jpg	(from https://evoocapital.com/)
11:00:43	54660/54660	---M--	200	added ('OK')	image/jpeg	etag:%22d584-5c090e09e73cf%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-5.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-5.jpg	(from https://evoocapital.com/)
11:00:44	94986/94986	---M--	200	added ('OK')	image/jpeg	etag:%221730a-5c090e09e73cf%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-6.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-6.jpg	(from https://evoocapital.com/)
11:00:45	52777/52777	---M--	200	added ('OK')	image/jpeg	etag:%22ce29-5c090e09e73cf%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-7.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-7.jpg	(from https://evoocapital.com/)
11:00:46	332967/332967	---M--	200	added ('OK')	image/jpeg	etag:%22514a7-5c090e0b3c0ef%22	https://evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-8.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/home_sec3_img-8.jpg	(from https://evoocapital.com/)
11:00:47	824/824	---M--	200	added ('OK')	image/png	etag:%22338-5cedbcd064578%22	https://evoocapital.com/wp-content/uploads/2021/10/icon-blockchain_2.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/10/icon-blockchain_2.png	(from https://evoocapital.com/)
11:00:48	1823/1823	---M--	200	added ('OK')	image/png	etag:%2271f-5c090e17cdd4f%22	https://evoocapital.com/wp-content/uploads/2021/03/icon-cloud.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/icon-cloud.png	(from https://evoocapital.com/)
11:00:48	1441/1441	---M--	200	added ('OK')	image/png	etag:%225a1-5c090e17cdd4f%22	https://evoocapital.com/wp-content/uploads/2021/03/icon-digitalassets.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/03/icon-digitalassets.png	(from https://evoocapital.com/)
11:00:49	1821/1821	---M--	200	added ('OK')	image/png	etag:%2271d-5d9553fee7de3%22	https://evoocapital.com/wp-content/themes/evoo/dist/img/lian-logo_white.png	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/img/lian-logo_white.png	(from https://evoocapital.com/)
11:00:50	28388/28388	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Aug%202022%2011:57:41%20GMT	https://polyfill.io/v3/polyfill.min.js?features=IntersectionObserver	C:/Users/Arjun/Desktop/evoo/polyfill.io/v3/polyfill.minc677.js	(from https://evoocapital.com/)
11:00:51	148629/148629	---M-Z	200	added ('OK')	application/javascript	etag:%2224495-5d9553fe04371-gzip%22	https://evoocapital.com/wp-content/themes/evoo/dist/js/vendors.js	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/js/vendors.js	(from https://evoocapital.com/)
11:00:51	53165/53165	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:52%20GMT	https://evoocapital.com/legal/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/legal/index.html	(from https://evoocapital.com/)
11:00:51	69525/69525	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2005:30:52%20GMT	https://evoocapital.com/privacy-policy/	C:/Users/Arjun/Desktop/evoo/evoocapital.com/privacy-policy/index.html	(from https://evoocapital.com/)
11:00:52	108064/108064	---M-Z	200	added ('OK')	application/javascript	etag:%221a620-5d9553ff758a5-gzip%22	https://evoocapital.com/wp-content/themes/evoo/dist/js/app.js	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/themes/evoo/dist/js/app.js	(from https://evoocapital.com/)
11:00:52	77/77	---MCZ	302	error ('Found')	text/plain	date:Wed,%2010%20Aug%202022%2005:30:53%20GMT	https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	C:/Users/Arjun/Desktop/evoo/unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.27.delayed	(from https://evoocapital.com/)
11:00:52	345431/345431	---MCZ	200	added ('OK')	application/javascript	etag:%2254557-mEzLpqpg5bSX6hg9TQvipFKQcc8%22	https://unpkg.com/@lottiefiles/lottie-player@1.5.7/dist/lottie-player.js	C:/Users/Arjun/Desktop/evoo/unpkg.com/@lottiefiles/lottie-player@1.5.7/dist/lottie-player.js	(from https://evoocapital.com/)
11:00:54	76628/76628	---M--	200	added ('OK')	image/jpeg	etag:%2212b54-5cedbce19b918%22	https://evoocapital.com//wp-content/uploads/2021/07/evoo-triangle.jpg	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/2021/07/evoo-triangle.jpg	(from https://evoocapital.com/)
11:00:54	732/732	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Aug%202022%2005:30:55%20GMT	https://connect.livechatinc.com/api/v1/script/b5bb35be-73f3-425f-940c-bfb1de997a79/widget.js?lcv=d3f8b517-dab8-4889-9f42-bb7615d0bcd1	C:/Users/Arjun/Desktop/evoo/connect.livechatinc.com/api/v1/script/b5bb35be-73f3-425f-940c-bfb1de997a79/widget90b8.js	(from https://evoocapital.com/)
11:00:55	6475/6475	---M-Z	200	added ('OK')	application/javascript	etag:%22194b-5dfcd238a17a0-gzip%22	https://evoocapital.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://evoocapital.com/)
11:00:56	19142/19142	---M-Z	200	added ('OK')	application/javascript	etag:%224ac6-5dfcd238a2740-gzip%22	https://evoocapital.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://evoocapital.com/)
11:00:56	9720/9720	---M-Z	200	added ('OK')	application/javascript	etag:%2225f8-5d954b2e43def-gzip%22	https://evoocapital.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.5.6	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/plugins/contact-form-7/includes/js/index5406.js	(from https://evoocapital.com/)
11:00:57	20715/20715	---M-Z	200	added ('OK')	application/javascript	etag:%2250eb-5dfcd238c7900-gzip%22	https://evoocapital.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-includes/js/jquery/ui/core.min0028.js	(from https://evoocapital.com/)
11:00:58	69659/69659	---M-Z	200	added ('OK')	application/javascript	etag:%221101b-5d954b783f52c-gzip%22	http://evoocapital.com/wp-content/uploads/pum/pum-site-scripts.js?defer&generated=1646332762&ver=1.16.4	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/uploads/pum/pum-site-scripts952f.js	(from https://evoocapital.com/)
11:00:59	26983/26983	---M-Z	200	added ('OK')	application/javascript	etag:%226967-5d954b3da07cf-gzip%22	https://evoocapital.com/wp-content/plugins/jquery-validation-for-contact-form-7/includes/assets/js/jquery.validate.min.js?ver=5.2	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/plugins/jquery-validation-for-contact-form-7/includes/assets/js/jquery.validate.min5fba.js	(from https://evoocapital.com/)
11:01:00	1757/1757	---M-Z	200	added ('OK')	application/javascript	etag:%226dd-5d954b3da07cf-gzip%22	https://evoocapital.com/wp-content/plugins/jquery-validation-for-contact-form-7/includes/assets/js/jvcf7_validation.js?ver=5.2	C:/Users/Arjun/Desktop/evoo/evoocapital.com/wp-content/plugins/jquery-validation-for-contact-form-7/includes/assets/js/jvcf7_validation5fba.js	(from https://evoocapital.com/)
11:01:01	884/884	---MC-	200	added ('OK')	text/javascript	date:Wed,%2010%20Aug%202022%2005:31:02%20GMT	https://www.google.com/recaptcha/api.js?render=6LecmbEeAAAAAI97zvKLd7w7p8Lr4zcCQc_HcV2N&ver=3.0	C:/Users/Arjun/Desktop/evoo/www.google.com/recaptcha/apie429.js	(from https://evoocapital.com/)
